productId,skuId,name,brand,top,category,bracket,price
1003178034,1003055606,Jogo De Ação - Tapalavras - Multikids,Multikids,JOGOS,JOGOS DE ACAO,6-8,133.99
1003269298,1003156075,Jogo De Cartas - Pokémon - ME04 - Blister Unitário - Copag,Copag,JOGOS,JOGOS DE CARTAS,6-8,18.99
100155435,100155359,Jogo Batalha Naval - Novo - Grow,Grow,JOGOS,JOGOS CLASSICOS,unknown,69.99
1002856610,1002722741,Jogo Educativo - O Show da Luna - Laboratório Criativo - Nig Brinquedos,Nig Brinquedos,JOGOS,JOGOS EDUCATIVOS,3-5,115.99
1002882905,1002749529,Jogo De Tabuleiro -  War - O Jogo Da Estratégia - Grow,Grow,JOGOS,JOGOS DE TABULEIRO,unknown,110.99
1003042490,1002909752,Boneco - Funko POP Racing - Mclaren - Ayrton Senna - Candide,Candide,COLECIONAVEIS,FUNKO POP,13+,199.99
1003188449,1003067096,EXCLUSIVO: Chaveiro Miniatura Colecionável - Glasses Up - Barbie,SEM LICENÇA,COLECIONAVEIS,ACTION FIGURE,3-5,19.91
1003225484,1003110418,Blocos De Montar - Hot Wheels - Brick Shop - 94 Audi Avant RS2 - Mattel,Mattel,COLECIONAVEIS,CARRINHOS COLECIONAVEIS,9-12,178.99
1003265455,1003151978,Mini Brands - Fill The Fridge - Mini Minis - Refil Mini Geladeira - Candide,Candide,COLECIONAVEIS,MONTAGEM E MODELISMO,6-8,99.99
1002979260,1002844721,Fantasia Infantil Clássica - Batman - Tamanho P - Novabrink,Novabrink,FANTASIAS,FANTASIA INFANTIL,0-2,249.99
1003205785,1003086132,Sabre de Luz Black Series Ahsoka Tano Star Wars - Hasbro,Brinkedo Legal,FANTASIAS,SABRE DE LUZ,unknown,1349
1003167498,1003044258,Máscara - Jurassic World - Dinossauro - Mattel - Modelos Unitários Sortidos,Mattel,FANTASIAS,MASCARAS,3-5,138.99
1002095410,100472896,Bicicleta - Aro 16 - Dino - Infantil - Tk3-Track - Prata e Laranja,TRACKBIKES,ESPORTES,BICICLETAS,0-2,799.99
1003177705,1003055272,Skatenet - Homem-Aranha - Bandeirante,Bandeirante,ESPORTES,SKATES,0-2,399.99
1003172758,1003050062,Patinete - Decorado - Cardoso - Rosa,Cardoso,ESPORTES,PATINETES,0-2,249.99
1002969577,1002835147,Patins - Barbie - 04 Rodas - Tamanho 33/34 - Branco - Fun,Fun,ESPORTES,PATINS,6-8,349.99
1003119142,1002992927,Bola de Futebol Infantil - Fun Kids - T50 XXIV - Penalty,Penalty,ESPORTES,BOLAS,unknown,92.99
1001987133,100376692,Barraca - Barbie - 50 bolinhas - Fun,Fun,ESPORTES,BRINCADEIRAS AO AR LIVRE,0-2,307.99
